home_team,away_team,probability
Grizzlies,Nets,0.5747883
Grizzlies,Heat,0.586563
Grizzlies,Hawks,0.6096959
Grizzlies,Nuggets,0.4741589
Grizzlies,Kings,0.5386012
Grizzlies,Suns,0.5747883
Grizzlies,Clippers,0.586563
Grizzlies,Warriors,0.586563
Grizzlies,Lakers,0.5991614
Grizzlies,Timberwolves,0.610648
Kings,Bucks,0.3687636
Kings,Celtics,0.3821891
Kings,76ers,0.4217709
Kings,Cavaliers,0.4613988
Kings,Knicks,0.5123054
Kings,Nets,0.5366099
Kings,Heat,0.5486115
Kings,Hawks,0.5723197
Kings,Nuggets,0.4358138
Kings,Grizzlies,0.4613988
Kings,Suns,0.5366099
Kings,Clippers,0.5486115
Kings,Warriors,0.5486115
Kings,Lakers,0.5615019
Kings,Timberwolves,0.5732991
Suns,Bucks,0.3353185
Suns,Celtics,0.3481981
Suns,76ers,0.3864617
Suns,Cavaliers,0.4252117
Suns,Knicks,0.4756516
Suns,Nets,0.5
Suns,Heat,0.5120877
Suns,Hawks,0.536092
Suns,Nuggets,0.4001425
Suns,Grizzlies,0.4252117
Suns,Kings,0.4633901
Suns,Clippers,0.5120877
Suns,Warriors,0.5120877
Suns,Lakers,0.5251182
Suns,Timberwolves,0.5370872
Clippers,Bucks,0.3246273
Clippers,Celtics,0.3373046
Clippers,76ers,0.3750599
Clippers,Cavaliers,0.413437
Clippers,Knicks,0.4636068
Clippers,Nets,0.4879123
Clippers,Heat,0.5
Clippers,Hawks,0.5240463
Clippers,Nuggets,0.3885927
Clippers,Grizzlies,0.413437
Clippers,Kings,0.4513885
Clippers,Suns,0.4879123
Clippers,Warriors,0.5
Clippers,Lakers,0.5130463
Clippers,Timberwolves,0.5250445
Warriors,Bucks,0.3246273
Warriors,Celtics,0.3373046
Warriors,76ers,0.3750599
Warriors,Cavaliers,0.413437
Warriors,Knicks,0.4636068
Warriors,Nets,0.4879123
Warriors,Heat,0.5
Warriors,Hawks,0.5240463
Warriors,Nuggets,0.3885927
Warriors,Grizzlies,0.413437
Warriors,Kings,0.4513885
Warriors,Suns,0.4879123
Warriors,Clippers,0.5
Warriors,Lakers,0.5130463
Warriors,Timberwolves,0.5250445
Lakers,Bucks,0.3132897
Lakers,Celtics,0.3257378
Lakers,76ers,0.3629074
Lakers,Cavaliers,0.4008386
Lakers,Knicks,0.4506542
Lakers,Nets,0.4748818
Lakers,Heat,0.4869537
Lakers,Hawks,0.5110137
Lakers,Nuggets,0.3762657
Lakers,Grizzlies,0.4008386
Lakers,Kings,0.4384981
